Gene Name	Gene Id	FUN-1341	FUN-1342	FUN-1344	FUN-17	FUN-22	FUN-9
GNAT3	ENSG00000214415	1.270943	0.726281	2.927973	1.874104	1.057446	1.914406
TRPM5	ENSG00000070985	0.119753183	0.017978001	1.229728408	0.045315392	0.121667527	0.252780872
TAS2R1	ENSG00000169777	0.064139764	0.610409762	0.733497233	0.401023824	0.083884216	0.179819229
TAS2R10	ENSG00000121318	0.566958	0.272062	0.840878	0.417952	0.196377	0.183289
TAS2R13	ENSG00000212128	0.157211	0.170565	0.543821	0.280782	0.236505	0.234287
TAS2R14	ENSG00000212127	0.370803037	0.241570044	0.382625451	0.443154347	0.12256262	0.404538782
TAS2R16	ENSG00000128519	0	0.060726	0.3162	0.393905	0	0.077871
TAS2R19	ENSG00000212124	0.030216	1.239742	1.646991	0.999555	0.530964	1.189351
TAS2R20	ENSG00000255837	0.186354	0.22694	1.02725	0.132391	0.487	0.275188
TAS2R3	ENSG00000127362	0.142528	0.759509	0.601645	0.898717	0.25559	0.994263
TAS2R30	ENSG00000256188	0.043774	0.258398	0.886693	1.317321	0.712101	0.821198
TAS2R31	ENSG00000256436	0.605742	0.815881	2.131371	2.670316	0.608699	1.538295
TAS2R38	ENSG00000257138	0.183485	0.778962	1.950775	0.159958	0.031686	0
TAS2R39	ENSG00000236398	0.356524	0	0.50074	0.147776	0.071223	0.114127
TAS2R4	ENSG00000127364	0.444382	0.888107	0.98381	1.077618	0.736826	0.792369
TAS2R40	ENSG00000221937	0	0	0.809479	0.733782	0.033682	0.037218
TAS2R41	ENSG00000221855	0.07992	0.555796	1.845419	0.569471	0.268099	0
TAS2R42	ENSG00000186136	0.033993	0	0.569956	0.306461	0.144101	0.039846
TAS2R43	ENSG00000255374	0.620117	0.395328	0.416948	0.067294	0	0.717236
TAS2R46	ENSG00000226761	0.632855	0.060889	0.521508	0.38611	0.225479	0.618593
TAS2R5	ENSG00000127366	0.221988	0.590371	1.973809	1.570672	0.404333	0.798968
TAS2R50	ENSG00000212126	0.073846	0.355429	0.701977	0.525825	0.03332	0.5027
TAS2R60	ENSG00000185899	0.723802	0.072196	1.942491	0.669811	0.22593	1.372238
TAS2R7	ENSG00000121377	0.324425	0	0.91823	0.600544	0.066089	0.069774
TAS2R8	ENSG00000121314	0.118819	0	0.051341	0.025005	0	0
TAS2R9	ENSG00000121381	0.136358	0.262385	0.327095	0.641188	0.235831	0.372658
